BATCH_SIZE,CPU_PERC,RUN,TIME
1,0.0,0,18.0496883392334
1,0.0,1,18.020819187164307
1,0.0,2,18.058183670043945
1,0.1,0,16.045978307724
1,0.1,1,16.05281710624695
1,0.1,2,16.019693613052368
1,0.2,0,15.037142992019653
1,0.2,1,15.091301918029785
1,0.2,2,15.039167165756226
1,0.30000000000000004,0,13.057995796203613
1,0.30000000000000004,1,13.043185949325562
1,0.30000000000000004,2,13.011768817901611
1,0.4,0,11.100966215133667
1,0.4,1,11.059874057769775
1,0.4,2,11.043530941009521
1,0.5,0,9.043206930160522
1,0.5,1,9.057365417480469
1,0.5,2,9.020887851715088
1,0.6000000000000001,0,11.053606986999512
1,0.6000000000000001,1,11.083359003067017
1,0.6000000000000001,2,11.058119058609009
1,0.7000000000000001,0,13.124744653701782
1,0.7000000000000001,1,13.062303304672241
1,0.7000000000000001,2,13.07115626335144
1,0.8,0,15.042815446853638
1,0.8,1,15.068564414978027
1,0.8,2,15.043418884277344
1,0.9,0,16.14070773124695
1,0.9,1,16.068670988082886
1,0.9,2,16.10019326210022
1,1.0,0,19.09364151954651
1,1.0,1,19.13833236694336
1,1.0,2,19.15926718711853
8,0.0,0,4.0375072956085205
8,0.0,1,3.0057015419006348
8,0.0,2,4.0218424797058105
8,0.1,0,4.008487701416016
8,0.1,1,4.024272918701172
8,0.1,2,4.028851747512817
8,0.2,0,4.017467021942139
8,0.2,1,4.007114410400391
8,0.2,2,4.0212812423706055
8,0.30000000000000004,0,4.005168914794922
8,0.30000000000000004,1,4.026768922805786
8,0.30000000000000004,2,4.007877588272095
8,0.4,0,4.0057151317596436
8,0.4,1,4.026009559631348
8,0.4,2,4.00901198387146
8,0.5,0,5.026205539703369
8,0.5,1,5.008763551712036
8,0.5,2,5.029153108596802
8,0.6000000000000001,0,6.010039567947388
8,0.6000000000000001,1,6.031748533248901
8,0.6000000000000001,2,6.031930208206177
8,0.7000000000000001,0,7.0322582721710205
8,0.7000000000000001,1,7.0367913246154785
8,0.7000000000000001,2,7.012107610702515
8,0.8,0,8.029442548751831
8,0.8,1,8.045517921447754
8,0.8,2,8.048192739486694
8,0.9,0,9.013432025909424
8,0.9,1,9.017391681671143
8,0.9,2,9.02664828300476
8,1.0,0,9.016510486602783
8,1.0,1,9.034164428710938
8,1.0,2,9.026852130889893
16,0.0,0,2.023477554321289
16,0.0,1,3.021665096282959
16,0.0,2,2.003610610961914
16,0.1,0,3.0032572746276855
16,0.1,1,3.0041446685791016
16,0.1,2,3.023317337036133
16,0.2,0,3.0249886512756348
16,0.2,1,3.025055408477783
16,0.2,2,3.0305073261260986
16,0.30000000000000004,0,4.0331339836120605
16,0.30000000000000004,1,4.028216123580933
16,0.30000000000000004,2,4.009291648864746
16,0.4,0,4.028465747833252
16,0.4,1,4.024641990661621
16,0.4,2,4.023991107940674
16,0.5,0,5.034909248352051
16,0.5,1,5.010469913482666
16,0.5,2,5.016611814498901
16,0.6000000000000001,0,6.012110471725464
16,0.6000000000000001,1,6.036575555801392
16,0.6000000000000001,2,6.015912771224976
16,0.7000000000000001,0,7.034306049346924
16,0.7000000000000001,1,7.032718658447266
16,0.7000000000000001,2,7.032240867614746
16,0.8,0,8.011737585067749
16,0.8,1,8.033677577972412
16,0.8,2,8.035169124603271
16,0.9,0,9.029269933700562
16,0.9,1,9.019558668136597
16,0.9,2,9.05519700050354
16,1.0,0,9.031756401062012
16,1.0,1,9.03853178024292
16,1.0,2,9.041948556900024
32,0.0,0,2.0199813842773438
32,0.0,1,2.006810188293457
32,0.0,2,2.006119728088379
32,0.1,0,2.005124092102051
32,0.1,1,2.0082857608795166
32,0.1,2,2.021959066390991
32,0.2,0,3.0077168941497803
32,0.2,1,3.024142265319824
32,0.2,2,3.0059123039245605
32,0.30000000000000004,0,3.0267484188079834
32,0.30000000000000004,1,3.025599718093872
32,0.30000000000000004,2,3.0063064098358154
32,0.4,0,4.029444456100464
32,0.4,1,4.033085346221924
32,0.4,2,4.013042688369751
32,0.5,0,5.03698992729187
32,0.5,1,5.032334804534912
32,0.5,2,5.028872489929199
32,0.6000000000000001,0,6.02997088432312
32,0.6000000000000001,1,6.032540798187256
32,0.6000000000000001,2,6.027531862258911
32,0.7000000000000001,0,7.035463571548462
32,0.7000000000000001,1,7.028848171234131
32,0.7000000000000001,2,7.03769326210022
32,0.8,0,8.016661167144775
32,0.8,1,8.037864923477173
32,0.8,2,8.048811435699463
32,0.9,0,8.047929763793945
32,0.9,1,8.037685871124268
32,0.9,2,8.023530721664429
32,1.0,0,9.038846731185913
32,1.0,1,9.038455486297607
32,1.0,2,9.035263061523438
64,0.0,0,2.036405324935913
64,0.0,1,2.023599624633789
64,0.0,2,2.0060818195343018
64,0.1,0,2.0057594776153564
64,0.1,1,2.0071067810058594
64,0.1,2,2.0026767253875732
64,0.2,0,3.0048272609710693
64,0.2,1,3.0407087802886963
64,0.2,2,3.0265538692474365
64,0.30000000000000004,0,3.026054620742798
64,0.30000000000000004,1,3.026445150375366
64,0.30000000000000004,2,3.0144200325012207
64,0.4,0,4.033427953720093
64,0.4,1,4.034596920013428
64,0.4,2,4.008333206176758
64,0.5,0,5.032608985900879
64,0.5,1,5.022324800491333
64,0.5,2,5.033458948135376
64,0.6000000000000001,0,6.0304951667785645
64,0.6000000000000001,1,6.013513088226318
64,0.6000000000000001,2,6.037195682525635
64,0.7000000000000001,0,7.037670373916626
64,0.7000000000000001,1,7.051903486251831
64,0.7000000000000001,2,7.049568176269531
64,0.8,0,8.088410139083862
64,0.8,1,8.037567377090454
64,0.8,2,8.04186201095581
64,0.9,0,9.027001857757568
64,0.9,1,9.018274784088135
64,0.9,2,8.040101528167725
64,1.0,0,9.050357103347778
64,1.0,1,9.03879189491272
64,1.0,2,9.056100130081177
128,0.0,0,2.024216651916504
128,0.0,1,2.024717092514038
128,0.0,2,2.038818120956421
128,0.1,0,2.022000312805176
128,0.1,1,2.005261182785034
128,0.1,2,2.003614902496338
128,0.2,0,3.0286953449249268
128,0.2,1,3.0311336517333984
128,0.2,2,3.044820785522461
128,0.30000000000000004,0,3.032731294631958
128,0.30000000000000004,1,3.0269362926483154
128,0.30000000000000004,2,3.042022943496704
128,0.4,0,4.0313568115234375
128,0.4,1,4.053908348083496
128,0.4,2,4.031686544418335
128,0.5,0,5.032405376434326
128,0.5,1,5.03059458732605
128,0.5,2,5.047945022583008
128,0.6000000000000001,0,6.053138256072998
128,0.6000000000000001,1,6.035297870635986
128,0.6000000000000001,2,6.033562898635864
128,0.7000000000000001,0,7.069725513458252
128,0.7000000000000001,1,7.052926301956177
128,0.7000000000000001,2,7.048748970031738
128,0.8,0,8.051605701446533
128,0.8,1,8.051563024520874
128,0.8,2,8.054880857467651
128,0.9,0,8.057489156723022
128,0.9,1,8.060506582260132
128,0.9,2,8.056804418563843
128,1.0,0,9.055940628051758
128,1.0,1,9.038819789886475
128,1.0,2,9.061394214630127
256,0.0,0,2.028730630874634
256,0.0,1,1.0171079635620117
256,0.0,2,1.0268409252166748
256,0.1,0,2.0266358852386475
256,0.1,1,2.008833885192871
256,0.1,2,2.0345704555511475
