BATCH_SIZE,CPU_PERC,RUN,TIME
1,0.0,0,18.690118074417114
1,0.0,1,18.955750226974487
1,0.0,2,18.597052335739136
1,0.01,0,18.914716005325317
1,0.01,1,18.723233222961426
1,0.01,2,18.71179986000061
1,0.02,0,18.560733318328857
1,0.02,1,18.677122831344604
1,0.02,2,18.513421535491943
1,0.03,0,18.17271900177002
1,0.03,1,18.291096210479736
1,0.03,2,18.439892292022705
1,0.04,0,18.792758464813232
1,0.04,1,18.406548500061035
1,0.04,2,18.937233448028564
1,0.05,0,18.033260583877563
1,0.05,1,17.927271127700806
1,0.05,2,18.198532581329346
1,0.06,0,17.822134494781494
1,0.06,1,17.979193925857544
1,0.06,2,17.799849271774292
1,0.07,0,17.61544895172119
1,0.07,1,17.54827857017517
1,0.07,2,17.663014888763428
1,0.08,0,17.492855548858643
1,0.08,1,17.64467763900757
1,0.08,2,17.434250593185425
1,0.09,0,17.387773275375366
1,0.09,1,17.37119722366333
1,0.09,2,17.47474765777588
1,0.1,0,17.09352207183838
1,0.1,1,17.226677179336548
1,0.1,2,17.178874731063843
2,0.0,0,10.212306261062622
2,0.0,1,10.149747848510742
2,0.0,2,10.13645601272583
2,0.01,0,10.287732362747192
2,0.01,1,10.219155073165894
2,0.01,2,12.147689819335938
2,0.02,0,10.19279932975769
2,0.02,1,10.178466796875
2,0.02,2,10.254399299621582
2,0.03,0,10.130495309829712
2,0.03,1,10.259150981903076
2,0.03,2,10.163772106170654
2,0.04,0,10.096693515777588
2,0.04,1,10.036149978637695
2,0.04,2,10.152578830718994
2,0.05,0,9.883894443511963
2,0.05,1,10.061472415924072
2,0.05,2,9.94532299041748
2,0.06,0,9.79267954826355
2,0.06,1,9.846261501312256
2,0.06,2,9.886770248413086
2,0.07,0,9.857723951339722
2,0.07,1,9.820002794265747
2,0.07,2,9.703998565673828
2,0.08,0,9.76595664024353
2,0.08,1,9.782073736190796
2,0.08,2,9.6110520362854
2,0.09,0,9.52582049369812
2,0.09,1,9.697975873947144
2,0.09,2,9.605848789215088
2,0.1,0,9.629213571548462
2,0.1,1,9.522664546966553
2,0.1,2,9.660959959030151
4,0.0,0,5.34975528717041
4,0.0,1,5.351298570632935
4,0.0,2,5.3727216720581055
4,0.01,0,5.587599992752075
